date,close,volume
2023-07-28,"2,636.0",771.51K
2023-07-31,"2,635.0",1.02M
2023-08-01,"2,670.0",1.68M
2023-08-02,"2,709.4",1.65M
2023-08-03,"2,780.0",1.25M
2023-08-04,"2,731.0",3.36M
2023-08-07,"2,709.0",1.19M
2023-08-08,"2,728.6",1.05M
2023-08-09,"2,723.2",666.38K
2023-08-10,"2,718.0",2.10M
2023-08-11,"2,704.2",628.95K
2023-08-14,"2,610.0",1.38M
2023-08-15,"2,615.8",1.11M
2023-08-16,"2,570.6",1.59M
2023-08-17,"2,581.6",1.11M
2023-08-18,"2,602.2",819.58K
2023-08-21,"2,662.4",964.27K
2023-08-22,"2,710.8",1.03M
2023-08-23,"2,604.0",1.28M
2023-08-24,"2,648.4",468.08K
2023-08-25,"2,648.6",416.41K
2023-08-28,"2,670.0",563.68K
2023-08-29,"2,698.8",803.01K
2023-08-30,"2,668.2",572.95K
2023-08-31,"2,689.0",599.95K
2023-09-01,"2,690.2",418.29K
2023-09-04,"2,744.0",1.17M
2023-09-05,"2,726.6",588.47K
2023-09-06,"2,664.6",950.62K
2023-09-07,"2,585.6",1.56M
2023-09-08,"2,547.6",864.92K
2023-09-11,"2,488.8",1.19M
2023-09-12,"2,579.2",1.05M
2023-09-13,"2,550.8",1.04M
2023-09-14,"2,508.8",1.13M
2023-09-15,"2,568.0",630.96K
2023-09-18,"2,518.0",820.16K
2023-09-19,"2,442.2",1.28M
2023-09-20,"2,418.0",1.50M
2023-09-21,"2,355.4",1.15M
2023-09-22,"2,410.2",986.09K
2023-09-25,"2,391.0",543.85K
2023-09-26,"2,391.0",707.58K
2023-09-27,"2,453.8",997.25K
2023-09-28,"2,439.4",835.80K
2023-09-29,"2,402.2",898.92K
2023-10-02,"2,395.8",763.36K
2023-10-03,"2,386.8",658.79K
2023-10-04,"2,379.6",718.75K
2023-10-05,"2,480.0",2.26M
2023-10-06,"2,482.2",1.53M
2023-10-09,"2,477.4",511.22K
2023-10-10,"2,485.2",831.59K
2023-10-11,"2,444.0",646.51K
2023-10-12,"2,465.0",522.58K
2023-10-13,"2,512.6",1.24M
2023-10-16,"2,530.0",676.54K
2023-10-17,"2,527.4",536.97K
2023-10-18,"2,527.2",542.56K
2023-10-19,"2,660.6",3.28M
2023-10-20,"2,679.4",1.96M
2023-10-23,"2,677.2",979.39K
2023-10-24,"2,725.2",1.23M
2023-10-25,"2,737.0",1.01M
2023-10-26,"2,682.4",1.76M
2023-10-27,"2,666.6",2.31M
2023-10-30,"2,603.6",818.17K
2023-10-31,"2,612.0",1.05M
2023-11-01,"2,639.8",818.56K
2023-11-02,"2,625.6",643.11K
2023-11-03,"2,613.0",543.03K
